gene	N	S	dN	dS	w
FBgn0036254	2005.7	559.3	0.019	0.1589	0.1198
FBgn0036255	256.5	76.5	0.008	0.1113	0.0721
FBgn0036257	1158.6	269.4	0.0107	0.1329	0.0803
FBgn0036258	1333.0	284.0	0.0015	0.1716	0.0089
FBgn0036259	705.6	203.4	0.0029	0.1211	0.0239
FBgn0036260	1115.1	333.9	0.0046	0.0964	0.0473
FBgn0036262	688.1	187.9	0.0059	0.2015	0.0292
FBgn0036263	795.0	255.0	0.014	0.1535	0.0914
FBgn0036264	691.7	169.3	0.0162	0.1784	0.0905
FBgn0036266	882.9	266.1	0.0266	0.192	0.1384
FBgn0036271	746.2	234.8	0.0013	0.1316	0.0102
FBgn0036272	876.3	224.7	0.0012	0.1632	0.007
FBgn0036273	1671.8	569.2	0.0048	0.1427	0.0337
FBgn0036274	1232.0	391.0	0.0083	0.0913	0.0905
FBgn0036277	224.5	60.5	0.0002	0.2102	0.001
FBgn0036278	1519.3	409.7	0.0081	0.1405	0.0578
FBgn0036279	2779.3	841.7	0.0022	0.1269	0.0173
FBgn0036282	1560.4	428.6	0.0071	0.166	0.0431
FBgn0036285	1391.6	513.4	0.0139	0.0969	0.1433
FBgn0036286	1127.2	348.8	0.0108	0.123	0.0882
FBgn0036287	1654.7	589.3	0.0174	0.1568	0.1109
FBgn0036288	1095.9	359.1	0.014	0.1352	0.1036
FBgn0036289	807.9	194.1	0.0012	0.1396	0.0089
FBgn0036290	723.1	227.9	0.0099	0.1465	0.0674
FBgn0036291	488.9	147.1	0.0082	0.1074	0.0765
FBgn0036292	884.1	264.9	0.0046	0.1347	0.0341
FBgn0036294	908.5	237.5	0.0248	0.1541	0.1609
FBgn0036298	1332.7	314.3	0.0054	0.1903	0.0282
FBgn0036299	1933.4	523.6	0.0042	0.1499	0.0281
FBgn0036300	623.3	138.7	0.0016	0.1764	0.0091
FBgn0036301	1196.5	324.5	0.0128	0.1494	0.0859
FBgn0036302	1454.2	438.8	0.0062	0.1113	0.0559
FBgn0036305	1476.9	443.1	0.0075	0.1159	0.0644
FBgn0036306	689.2	228.8	0.0073	0.0757	0.0963
FBgn0036309	2603.2	768.8	0.0125	0.1257	0.0991
FBgn0036310	1580.4	504.6	0.044	0.1599	0.2749
FBgn0036311	1903.7	679.3	0.0696	0.1106	0.6289
FBgn0036314	606.6	185.4	0.0017	0.1401	0.0118
FBgn0036316	1233.5	383.5	0.0133	0.0992	0.1343
FBgn0036317	1842.6	569.4	0.006	0.0869	0.0689
FBgn0036318	815.6	336.4	0.0025	0.0765	0.0326
FBgn0036319	1466.8	537.2	0.0007	0.1144	0.006
FBgn0036320	657.7	170.3	0.2375	0.4428	0.5363
FBgn0036321	2922.6	1091.4	0.0123	0.0999	0.123
FBgn0036323	1021.4	295.6	0.0221	0.0684	0.3231
FBgn0036324	821.4	291.6	0.0211	0.0624	0.3377
FBgn0036325	1168.9	394.1	0.1646	0.1582	1.0407
FBgn0036327	746.3	300.7	0.0287	0.0969	0.2964
FBgn0036328	755.6	285.4	0.0232	0.1036	0.2243
FBgn0036329	1546.5	559.5	0.0225	0.0925	0.2432
FBgn0036330	607.2	187.8	0.0391	0.0821	0.476
FBgn0036332	1496.1	477.9	0.1327	0.1053	1.2604
FBgn0036333	2290.8	733.2	0.0171	0.0938	0.1826
FBgn0036334	241.0	68.0	0.0042	0.0965	0.0433
FBgn0036335	327.3	122.7	0.0031	0.0855	0.0366
FBgn0036336	676.4	220.6	0.0061	0.1259	0.0481
FBgn0036337	770.5	264.5	0.0053	0.0768	0.069
FBgn0036340	2212.3	649.7	0.0097	0.0765	0.127
FBgn0036341	694.5	157.5	0.0061	0.1041	0.0585
FBgn0036343	491.4	165.6	0.0104	0.0502	0.2065
FBgn0036345	316.5	139.5	0.0197	0.0938	0.2102
FBgn0036346	782.2	231.8	0.0128	0.157	0.0816
FBgn0036348	3643.0	1139.0	0.0055	0.1281	0.0432
FBgn0036349	348.8	89.2	0.0207	0.196	0.1059
FBgn0036350	566.8	180.2	0.0595	0.1893	0.3144
FBgn0036351	511.1	220.9	0.0139	0.1141	0.1219
FBgn0036352	764.3	279.7	0.0323	0.1297	0.2493
FBgn0036353	679.4	241.6	0.009	0.0986	0.0915
FBgn0036354	926.3	240.7	0.0511	0.2686	0.1903
FBgn0036356	656.3	264.7	0.0126	0.1313	0.0959
FBgn0036359	424.6	130.4	0.0216	0.1969	0.1095
FBgn0036360	1042.3	373.7	0.0088	0.1416	0.0623
FBgn0036361	708.8	194.2	0.0173	0.1494	0.116
FBgn0036362	600.9	206.1	0.0017	0.1228	0.0138
FBgn0036363	664.3	226.7	0.0248	0.126	0.1966
FBgn0036364	569.7	159.3	0.0143	0.1419	0.1008
FBgn0036365	3693.2	1244.8	0.0166	0.1165	0.1425
FBgn0036366	740.9	207.1	0.0097	0.1721	0.0561
FBgn0036367	620.3	243.7	0.0098	0.1408	0.0699
FBgn0036368	2804.9	906.1	0.0014	0.1282	0.0113
FBgn0036369	988.4	340.6	0.0041	0.0991	0.0413
FBgn0036372	1179.8	413.2	0.0026	0.0833	0.0309
FBgn0036373	1129.4	466.6	0.0027	0.0553	0.0487
FBgn0036374	4177.6	1429.4	0.0046	0.0859	0.0537
FBgn0036376	1487.8	549.2	0.0082	0.1464	0.0562
FBgn0036377	1540.9	586.1	0.014	0.169	0.0831
FBgn0036380	556.5	199.5	0.0165	0.1298	0.1273
FBgn0036381	1126.2	355.8	0.0018	0.2225	0.008
FBgn0036382	187.6	46.4	0.0	0.0241	0.001
FBgn0036386	2149.1	694.9	0.0318	0.124	0.2563
FBgn0036389	2155.9	790.1	0.0113	0.0813	0.1392
FBgn0036390	200.4	69.6	0.1372	0.1595	0.8604
FBgn0036391	1165.6	355.4	0.1942	0.3256	0.5965
FBgn0036395	489.3	128.7	0.0711	0.253	0.281
FBgn0036396	767.8	243.2	0.0636	0.0908	0.7003
FBgn0036397	1414.2	415.8	0.0014	0.1458	0.0097
FBgn0036398	6666.1	2588.9	0.0122	0.0968	0.1261
FBgn0036402	1113.9	389.1	0.01	0.1191	0.0844
FBgn0036403	1285.9	454.1	0.0223	0.1375	0.1622
FBgn0036405	669.1	200.9	0.0602	0.0854	0.7046
FBgn0036406	357.5	95.5	0.0439	0.145	0.303
FBgn0036410	1428.1	515.9	0.0391	0.1485	0.2633
FBgn0036411	840.8	320.2	0.0121	0.0772	0.157
FBgn0036414	1881.7	620.3	0.0016	0.1542	0.0104
FBgn0036415	385.9	106.1	0.0079	0.1938	0.0409
FBgn0036416	709.6	253.4	0.0172	0.1082	0.1589
FBgn0036417	759.2	296.8	0.0176	0.0834	0.2111
FBgn0036422	751.0	296.0	0.0307	0.0917	0.3352
FBgn0036423	675.5	215.5	0.0869	0.1297	0.6697
FBgn0036426	331.6	100.4	0.0604	0.1799	0.336
FBgn0036427	816.8	305.2	0.0138	0.0657	0.2101
FBgn0036428	893.7	258.3	0.0011	0.0537	0.021
FBgn0036433	376.8	148.2	0.0054	0.064	0.0849
FBgn0036436	821.2	300.8	0.0024	0.1171	0.0209
FBgn0036437	505.5	124.5	0.01	0.1249	0.0802
FBgn0036438	254.3	84.7	0.0198	0.155	0.1276
FBgn0036439	345.5	98.5	0.0665	0.1028	0.6465
FBgn0036441	353.1	93.9	0.0713	0.1516	0.4701
FBgn0036442	315.5	95.5	0.013	0.1039	0.1253
FBgn0036446	1327.4	433.6	0.0031	0.1494	0.0204
FBgn0036447	1193.4	324.6	0.0239	0.1611	0.1486
FBgn0036448	3968.4	1491.6	0.0098	0.1132	0.0864
FBgn0036449	1277.2	381.8	0.004	0.1041	0.0381
FBgn0036450	1867.8	628.2	0.0232	0.0868	0.2676
FBgn0036454	3632.0	1321.0	0.0022	0.0749	0.0298
FBgn0036459	1749.0	543.0	0.069	0.1429	0.4828
FBgn0036460	976.5	298.5	0.0073	0.1078	0.0673
FBgn0036461	1254.5	461.5	0.012	0.1397	0.0862
FBgn0036462	754.8	244.2	0.004	0.1431	0.0279
FBgn0036463	2334.6	878.4	0.0096	0.1313	0.0728
FBgn0036465	592.0	194.0	0.0121	0.141	0.0857
FBgn0036466	364.9	106.1	0.0492	0.1521	0.3234
FBgn0036470	489.9	143.1	0.0356	0.1024	0.3476
FBgn0036471	433.7	163.3	0.0467	0.1625	0.2873
FBgn0036474	847.1	286.9	0.0581	0.1803	0.322
FBgn0036476	1416.1	488.9	0.007	0.111	0.0635
FBgn0036479	1403.5	495.5	0.0225	0.0903	0.2488
FBgn0036480	2477.7	717.3	0.0233	0.1465	0.1588
FBgn0036481	1156.0	353.0	0.0061	0.0861	0.0713
FBgn0036482	2256.5	749.5	0.116	0.1031	1.1253
FBgn0036483	2709.2	851.8	0.0264	0.1106	0.2385
FBgn0036484	891.6	263.4	0.0104	0.1215	0.0855
FBgn0036485	1252.9	256.1	0.0024	0.1687	0.0144
FBgn0036486	2728.2	841.8	0.0141	0.128	0.1104
FBgn0036487	1164.7	338.3	0.0035	0.1932	0.018
FBgn0036488	187.3	49.7	0.0001	0.064	0.001
FBgn0036489	869.1	249.9	0.0023	0.1637	0.0143
FBgn0036490	468.7	119.3	0.0021	0.0984	0.0215
FBgn0036491	1191.0	387.0	0.0034	0.1397	0.0241
FBgn0036492	1241.4	357.6	0.0081	0.1606	0.0505
FBgn0036493	2325.2	863.8	0.0132	0.1105	0.1196
FBgn0036494	3552.5	989.5	0.0029	0.1158	0.0249
FBgn0036495	274.0	80.0	0.0534	0.2072	0.2578
FBgn0036496	767.6	186.4	0.0898	0.1361	0.6601
FBgn0036497	493.1	157.9	0.1251	0.1065	1.1751
FBgn0036498	859.5	268.5	0.0264	0.1233	0.2138
FBgn0036499	390.8	122.2	0.0156	0.153	0.1018
FBgn0036500	1070.0	268.0	0.0057	0.1244	0.0459
FBgn0036501	537.2	146.8	0.0077	0.0702	0.1096
FBgn0036502	384.4	137.6	0.0078	0.1092	0.0717
FBgn0036503	261.6	74.4	0.0429	0.1901	0.2255
FBgn0036504	766.3	259.7	0.0106	0.1267	0.0833
FBgn0036505	571.2	211.8	0.0328	0.0991	0.3306
FBgn0036509	1331.9	456.1	0.017	0.1382	0.1227
FBgn0036510	767.4	123.6	0.0195	0.1898	0.1026
FBgn0036512	1353.8	467.2	0.0098	0.1098	0.0891
FBgn0036514	1786.7	526.3	0.023	0.0964	0.2389
FBgn0036515	752.1	249.9	0.011	0.0793	0.1382
FBgn0036516	745.4	211.6	0.0001	0.0796	0.001
FBgn0036518	2100.5	527.5	0.107	0.2274	0.4707
FBgn0036519	649.3	178.7	0.0032	0.1564	0.0202
FBgn0036520	1238.9	375.1	0.0098	0.1371	0.0715
FBgn0036522	2232.0	669.0	0.0313	0.113	0.277
FBgn0036527	1252.1	436.9	0.037	0.1255	0.2952
FBgn0036528	1084.8	409.2	0.0393	0.0972	0.4042
FBgn0036529	1327.2	442.8	0.0115	0.1572	0.0733
FBgn0036531	186.4	59.6	0.0271	0.179	0.1511
FBgn0036532	245.2	75.8	0.0369	0.2032	0.1814
FBgn0036534	1754.8	606.2	0.0145	0.0819	0.1776
FBgn0036536	768.5	209.5	0.0252	0.1458	0.1729
FBgn0036544	1925.6	657.4	0.0037	0.0492	0.0756
FBgn0036545	557.8	132.2	0.0768	0.3744	0.205
FBgn0036547	664.1	271.9	0.0125	0.0921	0.1362
FBgn0036549	789.4	236.6	0.0065	0.1372	0.0471
FBgn0036550	612.1	239.9	0.0017	0.1218	0.0136
FBgn0036551	673.7	178.3	0.0061	0.133	0.0459
FBgn0036552	651.4	200.6	0.0237	0.1635	0.145
FBgn0036553	649.2	214.8	0.011	0.1132	0.0973
FBgn0036556	769.8	217.2	0.0013	0.0788	0.0169
FBgn0036557	844.6	283.4	0.0171	0.154	0.1108
FBgn0036560	1040.7	318.3	0.0128	0.1344	0.0951
FBgn0036565	1522.0	569.0	0.0139	0.0884	0.1576
FBgn0036566	1934.0	742.0	0.0005	0.1102	0.0047
FBgn0036567	1007.6	345.4	0.0234	0.1291	0.1813
FBgn0036568	1408.7	457.3	0.005	0.1611	0.0312
FBgn0036569	2092.3	730.7	0.0163	0.1218	0.1338
FBgn0036570	1488.1	473.9	0.0041	0.1461	0.0281
FBgn0036571	2644.2	928.8	0.0088	0.1301	0.0679
FBgn0036574	2542.3	928.7	0.0152	0.1095	0.139
FBgn0036575	282.6	74.4	0.0234	0.2089	0.1119
FBgn0036576	1102.7	376.3	0.0064	0.0627	0.1022
FBgn0036579	936.1	353.9	0.0001	0.1398	0.001
FBgn0036580	317.4	81.6	0.0064	0.2226	0.0285
FBgn0036581	309.6	89.4	0.0001	0.1405	0.001
FBgn0036583	696.3	230.7	0.0001	0.0991	0.001
FBgn0036584	733.8	184.2	0.0028	0.1426	0.0193
FBgn0036585	162.1	44.9	0.0001	0.0939	0.001
FBgn0036586	322.7	124.3	0.0323	0.0083	3.9026
FBgn0036587	1345.6	376.4	0.01	0.1302	0.077
FBgn0036590	270.4	149.6	0.0282	0.0823	0.3431
FBgn0036593	381.2	236.8	0.0054	0.1179	0.0456
FBgn0036594	301.4	208.6	0.0036	0.0258	0.1409
FBgn0036595	378.6	164.4	0.0027	0.128	0.0211
FBgn0036596	352.3	208.7	0.0175	0.1173	0.1495
FBgn0036597	275.5	93.5	0.0001	0.1246	0.001
FBgn0036598	249.1	89.9	0.0252	0.0586	0.4304
FBgn0036602	260.3	90.7	0.0001	0.0817	0.001
FBgn0036607	329.1	135.9	0.0255	0.1425	0.179
FBgn0036609	279.3	92.7	0.0295	0.1939	0.1519
FBgn0036610	298.9	109.1	0.1064	0.2555	0.4162
FBgn0036612	2652.8	902.2	0.0035	0.1048	0.033
FBgn0036614	1875.2	449.8	0.012	0.1648	0.0729
FBgn0036617	736.6	286.4	0.0324	0.1534	0.2114
FBgn0036618	504.9	143.1	0.0163	0.1144	0.1425
FBgn0036619	973.9	313.1	0.0201	0.1984	0.1015
FBgn0036621	1834.7	622.3	0.0094	0.1108	0.0851
FBgn0036622	928.5	211.5	0.0022	0.1557	0.0141
FBgn0036623	943.6	214.4	0.0022	0.158	0.0137
FBgn0036624	2235.5	878.5	0.0731	0.1183	0.6176
FBgn0036627	873.2	176.8	0.0094	0.2224	0.0421
FBgn0036629	1113.8	419.2	0.0138	0.128	0.1077
FBgn0036638	459.6	173.4	0.0089	0.0548	0.1618
FBgn0036639	538.2	229.8	0.0056	0.1005	0.0561
FBgn0036640	1872.9	650.1	0.0176	0.1335	0.1317
FBgn0036641	521.0	157.0	0.0099	0.1746	0.0566
FBgn0036643	561.9	134.1	0.013	0.1645	0.0788
FBgn0036648	679.0	242.0	0.0135	0.1501	0.09
FBgn0036652	1519.9	451.1	0.0141	0.163	0.0868
FBgn0036654	810.7	335.3	0.0499	0.078	0.6402
FBgn0036655	235.3	118.7	0.0309	0.0442	0.6991
FBgn0036659	1269.3	353.7	0.0072	0.1616	0.0445
FBgn0036661	319.2	109.8	0.0032	0.0284	0.1137
FBgn0036662	1187.0	388.0	0.0043	0.1145	0.0377
FBgn0036663	4827.3	1517.7	0.0019	0.1071	0.0176
FBgn0036665	564.8	158.2	0.0053	0.1469	0.0362
FBgn0036666	923.2	300.8	0.0177	0.1599	0.111
FBgn0036667	174.2	59.8	0.0003	0.2599	0.001
FBgn0036668	3943.2	1219.8	0.0429	0.1196	0.3586
FBgn0036670	635.0	229.0	0.0373	0.1155	0.3225
FBgn0036671	1288.0	374.0	0.0079	0.1491	0.0532
FBgn0036676	397.5	154.5	0.0448	0.0924	0.4843
FBgn0036677	926.9	285.1	0.028	0.1444	0.1939
FBgn0036678	1362.2	455.8	0.0203	0.1379	0.1473
FBgn0036679	456.7	134.3	0.0278	0.1173	0.2369
FBgn0036680	1250.1	540.9	0.0148	0.1	0.1485
FBgn0036681	587.6	153.4	0.0558	0.1857	0.3008
FBgn0036684	3261.0	1140.0	0.005	0.1302	0.0383
FBgn0036685	1230.5	365.5	0.0025	0.1456	0.017
FBgn0036686	2734.9	742.1	0.0059	0.1673	0.0353
FBgn0036688	1644.1	500.9	0.0062	0.1508	0.041
FBgn0036689	1269.0	474.0	0.0129	0.1196	0.1077
FBgn0036690	373.2	76.8	0.0027	0.0963	0.0277
FBgn0036691	865.5	271.5	0.0082	0.1297	0.0635
FBgn0036695	885.5	272.5	0.007	0.1122	0.0621
FBgn0036696	331.1	103.9	0.0123	0.0953	0.1295
FBgn0036697	796.7	232.3	0.0013	0.0719	0.0177
FBgn0036698	962.5	231.5	0.0064	0.1742	0.0365
FBgn0036702	1903.1	574.9	0.0016	0.0858	0.0186
FBgn0036704	539.7	114.3	0.0075	0.1277	0.0589
FBgn0036706	561.2	152.8	0.015	0.1477	0.1016
FBgn0036707	1240.3	403.7	0.0223	0.1437	0.1551
FBgn0036708	434.2	159.8	0.0435	0.1781	0.2441
FBgn0036709	915.2	296.8	0.0111	0.1063	0.104
FBgn0036710	1280.3	345.7	0.0111	0.1549	0.0719
FBgn0036711	612.3	251.7	0.0254	0.1466	0.1732
FBgn0036712	1710.5	497.5	0.0365	0.1583	0.2304
FBgn0036713	501.5	131.5	0.0062	0.191	0.0324
FBgn0036715	4017.7	1442.3	0.0116	0.1654	0.07
FBgn0036716	1677.1	578.9	0.012	0.1806	0.0666
FBgn0036723	1325.7	387.3	0.0046	0.1604	0.0284
FBgn0036725	2963.7	1002.3	0.0103	0.1043	0.099
FBgn0036726	304.1	61.9	0.0067	0.0859	0.0777
FBgn0036727	1196.3	330.7	0.0034	0.1608	0.0211
FBgn0036728	225.7	41.3	0.0001	0.1295	0.001
FBgn0036729	655.4	193.6	0.0431	0.15	0.2873
FBgn0036731	479.7	129.3	0.0457	0.0398	1.1491
FBgn0036732	1947.5	509.5	0.0026	0.1219	0.0215
FBgn0036733	1234.5	424.5	0.0074	0.1273	0.0585
FBgn0036734	993.0	264.0	0.0031	0.1484	0.0207
FBgn0036735	1550.2	468.8	0.0145	0.0609	0.2375
FBgn0036740	552.7	125.3	0.0018	0.1476	0.0123
FBgn0036741	2135.4	735.6	0.0043	0.1244	0.0343
FBgn0036742	974.7	261.3	0.0041	0.0819	0.0507
FBgn0036745	397.6	136.4	0.0077	0.2022	0.0383
FBgn0036746	1995.0	642.0	0.003	0.1042	0.029
FBgn0036747	3812.6	1347.4	0.0268	0.1376	0.1947
FBgn0036749	1048.1	409.9	0.0069	0.113	0.0609
FBgn0036750	1075.1	361.9	0.0397	0.1389	0.2858
FBgn0036751	1211.8	348.2	0.005	0.1387	0.0362
FBgn0036752	1294.0	365.0	0.0119	0.1363	0.087
FBgn0036754	1322.7	447.3	0.0277	0.136	0.2033
FBgn0036756	921.5	344.5	0.0055	0.1391	0.0397
FBgn0036757	1400.2	486.8	0.0095	0.1293	0.0732
FBgn0036759	724.3	220.7	0.0211	0.1283	0.1643
FBgn0036760	748.2	241.8	0.0068	0.0939	0.0725
FBgn0036761	779.4	210.6	0.0288	0.1454	0.1979
FBgn0036762	1156.2	355.8	0.0009	0.0695	0.0126
FBgn0036763	1483.9	508.1	0.0172	0.1586	0.1086
FBgn0036764	1399.8	490.2	0.0036	0.1175	0.0309
FBgn0036765	1332.9	422.1	0.0168	0.1786	0.0942
FBgn0036766	396.7	143.3	0.0294	0.1278	0.2299
FBgn0036768	1276.4	460.6	0.0135	0.1361	0.0995
FBgn0036769	540.5	167.5	0.0001	0.1251	0.001
FBgn0036770	1610.5	612.5	0.0057	0.112	0.0506
FBgn0036771	862.9	262.1	0.0059	0.1403	0.042
FBgn0036772	1709.9	684.1	0.0115	0.1401	0.082
FBgn0036773	699.2	248.8	0.0029	0.0539	0.0541
FBgn0036774	537.8	137.2	0.0191	0.1636	0.1167
FBgn0036775	911.5	333.5	0.0101	0.0993	0.1016
FBgn0036777	744.1	326.9	0.0239	0.1144	0.209
FBgn0036778	1201.4	328.6	0.0117	0.1815	0.0646
FBgn0036780	415.7	163.3	0.0024	0.0976	0.025
FBgn0036781	2345.3	801.7	0.0135	0.1218	0.1109
FBgn0036782	1491.4	443.6	0.0403	0.2202	0.1828
FBgn0036783	400.1	151.9	0.0076	0.1272	0.0597
FBgn0036784	1397.0	472.0	0.011	0.1368	0.0801
FBgn0036785	1322.5	378.5	0.0333	0.1002	0.3323
FBgn0036786	216.6	107.4	0.0094	0.0195	0.4818
FBgn0036789	1282.6	361.4	0.0056	0.125	0.0446
FBgn0036790	1073.2	375.8	0.0029	0.1072	0.0267
FBgn0036793	1068.5	350.5	0.0307	0.1145	0.2683
FBgn0036795	1154.8	390.2	0.0386	0.1151	0.3353
FBgn0036796	1091.0	313.0	0.0789	0.2393	0.3295
FBgn0036799	408.7	95.3	0.1206	0.1773	0.6802
FBgn0036801	1769.1	438.9	0.0034	0.1082	0.0317
FBgn0036804	450.5	137.5	0.0045	0.1195	0.0377
FBgn0036805	472.1	136.9	0.0001	0.1123	0.001
FBgn0036806	1175.9	396.1	0.013	0.1195	0.1086
FBgn0036807	566.1	183.9	0.0143	0.1925	0.0742
FBgn0036808	675.1	230.9	0.0272	0.177	0.1539
FBgn0036809	590.2	168.8	0.139	0.1527	0.9101
FBgn0036810	831.1	302.9	0.0147	0.1712	0.0857
FBgn0036811	437.2	90.8	0.0023	0.1645	0.0139
FBgn0036812	1146.1	380.9	0.0423	0.1756	0.2407
FBgn0036813	783.5	206.5	0.009	0.0964	0.0933
FBgn0036814	4667.8	1695.2	0.0109	0.1098	0.0991
FBgn0036815	520.6	139.4	0.0463	0.1665	0.278
FBgn0036816	1330.5	439.5	0.0008	0.1051	0.0073
FBgn0036817	646.5	208.5	0.0063	0.1152	0.0546
FBgn0036818	761.9	237.1	0.0338	0.2042	0.1655
FBgn0036819	662.0	202.0	0.0204	0.0951	0.2141
FBgn0036820	255.8	86.2	0.0001	0.09	0.001
FBgn0036821	1637.3	474.7	0.0001	0.0846	0.001
FBgn0036822	404.7	126.3	0.028	0.1435	0.1949
FBgn0036824	1006.5	235.5	0.002	0.1264	0.0159
FBgn0036825	394.9	52.1	0.0001	0.1379	0.001
FBgn0036826	392.5	108.5	0.0259	0.1084	0.2385
FBgn0036827	890.1	207.9	0.0114	0.1234	0.092
FBgn0036828	2073.1	719.9	0.0001	0.1187	0.001
FBgn0036829	1462.8	562.2	0.0014	0.1036	0.0133
FBgn0036830	633.2	218.8	0.0299	0.1286	0.2323
FBgn0036831	987.7	302.3	0.0115	0.1503	0.0766
FBgn0036832	726.5	239.5	0.0114	0.1011	0.1124
FBgn0036833	997.8	271.2	0.0051	0.1195	0.0431
FBgn0036834	760.8	223.2	0.0053	0.161	0.0331
FBgn0036835	369.5	95.5	0.0139	0.0772	0.1796
FBgn0036836	1539.8	551.2	0.0107	0.1486	0.0717
FBgn0036837	1689.4	440.6	0.0572	0.2444	0.2341
FBgn0036838	1395.4	449.6	0.0178	0.1282	0.1392
FBgn0036839	1196.6	393.4	0.0111	0.1397	0.0794
FBgn0036842	1410.0	498.0	0.0079	0.1261	0.0629
FBgn0036843	767.6	213.4	0.0039	0.1262	0.0312
FBgn0036844	554.3	168.7	0.0073	0.0684	0.1064
FBgn0036846	1130.2	279.8	0.0054	0.12	0.0446
FBgn0036847	517.0	146.0	0.0139	0.1164	0.1193
FBgn0036848	667.6	232.4	0.0138	0.1133	0.1214
FBgn0036849	616.1	190.9	0.0033	0.1608	0.0203
FBgn0036850	551.3	183.7	0.0075	0.1041	0.0716
FBgn0036851	1269.9	317.1	0.0008	0.0917	0.0087
FBgn0036853	458.9	144.1	0.0177	0.1962	0.0901
FBgn0036856	507.8	131.2	0.006	0.231	0.026
FBgn0036857	1189.4	430.6	0.0087	0.1419	0.0615
FBgn0036859	1996.1	625.9	0.003	0.1888	0.0161
FBgn0036860	445.0	191.0	0.0114	0.076	0.1495
FBgn0036861	483.4	182.6	0.0482	0.189	0.2551
FBgn0036862	1527.7	515.3	0.0275	0.1044	0.2632
FBgn0036868	1702.0	551.0	0.1111	0.1483	0.7492
FBgn0036874	1690.0	494.0	0.025	0.1595	0.1567
FBgn0036875	946.0	266.0	0.0021	0.0601	0.0354
FBgn0036877	982.2	283.8	0.0031	0.1347	0.0229
FBgn0036878	491.2	120.8	0.0215	0.1527	0.1407
FBgn0036879	476.8	117.2	0.0133	0.1063	0.125
FBgn0036880	1013.4	258.6	0.012	0.1405	0.0856
FBgn0036881	2436.5	1247.5	0.0133	0.101	0.1321
FBgn0036882	3042.2	974.8	0.0138	0.1138	0.1209
FBgn0036886	1541.0	478.0	0.0249	0.1502	0.1659
FBgn0036887	302.7	72.3	0.0173	0.2135	0.081
FBgn0036888	1627.0	497.0	0.0019	0.1556	0.012
FBgn0036889	918.7	302.3	0.0248	0.1644	0.1509
FBgn0036890	408.9	122.1	0.0049	0.127	0.0389
FBgn0036891	940.3	283.7	0.0108	0.1515	0.0716
FBgn0036892	2227.4	838.6	0.0069	0.1255	0.0547
FBgn0036893	540.2	167.8	0.0001	0.1166	0.001
FBgn0036895	2599.9	844.1	0.0403	0.1236	0.3258
FBgn0036896	2335.6	595.4	0.0034	0.1432	0.024
FBgn0036897	978.4	365.6	0.0105	0.095	0.1101
FBgn0036900	1573.7	469.3	0.0181	0.1444	0.1255
FBgn0036906	945.0	378.0	0.0482	0.0857	0.5621
FBgn0036908	658.8	244.2	0.0331	0.1031	0.3204
FBgn0036909	322.8	85.2	0.0031	0.1315	0.0235
FBgn0036910	1149.2	362.8	0.0071	0.1036	0.0684
FBgn0036911	811.8	262.2	0.0025	0.1576	0.0159
FBgn0036913	4134.6	1202.4	0.0039	0.1322	0.0297
FBgn0036915	1414.1	379.9	0.0036	0.1748	0.0205
FBgn0036916	734.0	244.0	0.0183	0.1308	0.1402
FBgn0036918	327.3	47.7	0.0157	0.1289	0.1218
FBgn0036919	969.1	407.9	0.0138	0.1481	0.0934
FBgn0036920	684.2	122.8	0.0118	0.2438	0.0486
FBgn0036921	446.3	156.7	0.0023	0.0633	0.0358
FBgn0036922	393.8	110.2	0.0001	0.1298	0.001
FBgn0036923	1718.3	633.7	0.0507	0.0954	0.5314
FBgn0036924	863.1	354.9	0.0323	0.0817	0.395
FBgn0036925	1327.8	442.2	0.0465	0.1167	0.3984
FBgn0036926	428.6	129.4	0.0	0.0354	0.001
FBgn0036927	1146.1	311.9	0.0027	0.0883	0.0302
FBgn0036928	370.1	142.9	0.0	0.0444	0.001
FBgn0036929	978.3	287.7	0.0872	0.1255	0.6947
FBgn0036931	2048.7	567.3	0.0114	0.1256	0.0909
FBgn0036932	424.8	115.2	0.0144	0.1385	0.1037
FBgn0036934	1480.7	319.3	0.0027	0.1682	0.0163
FBgn0036935	1605.1	464.9	0.02	0.1309	0.1526
FBgn0036936	891.1	311.9	0.0045	0.1547	0.0293
FBgn0036937	1525.2	382.8	0.0094	0.2255	0.0416
FBgn0036938	291.3	86.7	0.0034	0.1166	0.0294
FBgn0036939	1030.2	229.8	0.0078	0.1734	0.0452
FBgn0036940	801.6	254.4	0.0253	0.136	0.1858
FBgn0036941	845.4	270.6	0.0071	0.1377	0.0519
FBgn0036942	701.0	217.0	0.0102	0.167	0.0609
FBgn0036945	388.9	97.1	0.0001	0.145	0.001
FBgn0036947	728.1	249.9	0.0197	0.0644	0.306
FBgn0036948	860.8	243.2	0.0727	0.0998	0.7288
FBgn0036949	940.8	316.2	0.0426	0.1329	0.3206
FBgn0036950	839.2	234.8	0.0313	0.152	0.2059
FBgn0036951	917.3	159.7	0.0101	0.1619	0.0622
FBgn0036952	816.0	222.0	0.1152	0.1769	0.6515
FBgn0036953	826.8	175.2	0.0263	0.1157	0.2273
FBgn0036956	954.2	335.8	0.0235	0.1255	0.1871
FBgn0036958	3246.5	1139.5	0.0063	0.0682	0.0925
FBgn0036959	447.5	113.5	0.0563	0.1684	0.3342
