FBgn0000008	a	FBgn0269458
FBgn0034463	CG15125	FBgn0183222
FBgn0034464	CG11018	FBgn0183223
FBgn0034467	CG15128	FBgn0196607
FBgn0034468	Obp56a	FBgn0183226
FBgn0034473	Or56a	FBgn0196604
FBgn0034474	Obp56g	FBgn0196603
FBgn0034475	Obp56h	FBgn0183230
FBgn0034476	Toll-7	FBgn0084945
FBgn0034477	CG13872	FBgn0196602
FBgn0034478	CG10822	FBgn0183235
FBgn0034479	CG8654	FBgn0183236
FBgn0034481	CG11041	FBgn0183239
FBgn0034483	CG16894	FBgn0196596
FBgn0034484	CG11044	FBgn0183241
FBgn0034485	CG11099	FBgn0082755
FBgn0034486	CG13869	FBgn0082752
FBgn0034487	Efhc1.2	FBgn0082757
FBgn0034488	Hacl	FBgn0082754
FBgn0034489	ppk6	FBgn0082717
FBgn0034490	CG9864	FBgn0082743
FBgn0034491	Hsl	FBgn0082756
FBgn0034493	CG8908	FBgn0183244
FBgn0034494	CG10444	FBgn0082758
FBgn0034495	CG11788	FBgn0082753
FBgn0034496	CG9143	FBgn0196595
FBgn0034497	Mpcp1	FBgn0082745
FBgn0034498	CG16868	FBgn0082750
FBgn0034499	Cpr56F	FBgn0082746
FBgn0034500	CG11200	FBgn0196594
FBgn0034501	CG13868	FBgn0196593
FBgn0034502	CG13871	FBgn0183248
FBgn0034503	MED8	FBgn0196592
FBgn0034504	CG8929	FBgn0183251
FBgn0034505	CG16739	FBgn0183252
FBgn0034506	CG13870	FBgn0183253
FBgn0034507	CG11192	FBgn0196591
FBgn0034509	Obp57c	FBgn0183257
FBgn0034511	GNBP-like3	FBgn0183260
FBgn0034512	Bbd	FBgn0183262
FBgn0034513	CG13423	FBgn0183263
FBgn0034514	CG13427	FBgn0196587
FBgn0034515	CG13428	FBgn0269611
FBgn0034517	Cpr57A	FBgn0196585
FBgn0034518	CG13430	FBgn0196584
FBgn0034519	BORCS7	FBgn0196582
FBgn0034520	lms	FBgn0183264
FBgn0034521	Mgat1	FBgn0196581
FBgn0034527	CG9945	FBgn0183266
FBgn0034528	CG11180	FBgn0196576
FBgn0034529	FAM21	FBgn0183267
FBgn0034530	Rcd6	FBgn0196575
FBgn0034532	CG13436	FBgn0183268
FBgn0034534	maf-S	FBgn0183269
FBgn0034535	CG11110	FBgn0183271
FBgn0034537	DMAP1	FBgn0183272
FBgn0034538	CG16799	FBgn0196571
FBgn0034539	CG11159	FBgn0196570
FBgn0034540	Lrt	FBgn0183273
FBgn0034541	CG13437	FBgn0183274
FBgn0034542	Fem-1	FBgn0196569
FBgn0034543	galla-1	FBgn0183275
FBgn0034545	CG13438	FBgn0183276
FBgn0034546	CG13442	FBgn0196566
FBgn0034548	CG13443	FBgn0270373
FBgn0034551	CG15225	FBgn0183281
FBgn0034552	CG17999	FBgn0196560
FBgn0034553	CG9993	FBgn0196559
FBgn0034554	CAH14	FBgn0183283
FBgn0034558	Cib2	FBgn0183286
FBgn0034560	CAH15	FBgn0183287
FBgn0034563	CG15649	FBgn0196554
FBgn0034564	CG9344	FBgn0183292
FBgn0034565	CG15650	FBgn0196552
FBgn0034566	CG9313	FBgn0183293
FBgn0034567	CG15651	FBgn0196551
FBgn0034568	CG3216	FBgn0196550
FBgn0034569	dgt3	FBgn0196549
FBgn0034570	CG10543	FBgn0183295
FBgn0034572	CG9346	FBgn0183296
FBgn0034573	CG3295	FBgn0196546
FBgn0034576	ND-B14.7	FBgn0183298
FBgn0034577	cpa	FBgn0183299
FBgn0034579	mRpL54	FBgn0268344
FBgn0034580	Cht8	FBgn0268641
FBgn0034582	Cht9	FBgn0196540
FBgn0034583	CG10527	FBgn0196539
FBgn0034585	Rbpn-5	FBgn0196538
FBgn0034588	CG9394	FBgn0268613
FBgn0034590	Magi	FBgn0196535
FBgn0034592	CG9406	FBgn0183307
FBgn0034595	CG15657	FBgn0196534
FBgn0034598	CG4266	FBgn0196533
FBgn0034599	hng1	FBgn0183311
FBgn0034601	CG4286	FBgn0196531
FBgn0034602	Lapsyn	FBgn0183316
FBgn0034605	Ugt49C1	FBgn0196529
FBgn0034606	ASPP	FBgn0196527
FBgn0034611	MFS16	FBgn0183323
FBgn0034612	CG10505	FBgn0196523
FBgn0034614	CG9752	FBgn0196520
FBgn0034617	Panx	FBgn0196519
FBgn0034618	CG9485	FBgn0183328
FBgn0034622	BBS9	FBgn0183332
FBgn0034623	CG9822	FBgn0196515
FBgn0034624	CG17974	FBgn0196514
FBgn0034626	CG10795	FBgn0196512
FBgn0034627	eEFSec	FBgn0196511
FBgn0034628	Acox57D-p	FBgn0183334
FBgn0034629	Acox57D-d	FBgn0183336
FBgn0034631	TAF1C-like	FBgn0196508
FBgn0034634	CG10494	FBgn0196507
FBgn0034636	twz	FBgn0196499
FBgn0034638	CG10433	FBgn0196498
FBgn0034639	CG15673	FBgn0196497
FBgn0034641	mahj	FBgn0183348
FBgn0034642	CG15674	FBgn0183349
FBgn0034643	CG10321	FBgn0084073
FBgn0034644	CG10082	FBgn0183350
FBgn0034645	ND-B12	FBgn0269715
FBgn0034646	Rae1	FBgn0196492
FBgn0034647	pirk	FBgn0196491
FBgn0034649	PIG-M	FBgn0196490
FBgn0034650	NC2alpha	FBgn0183353
FBgn0034651	CG15676	FBgn0183354
FBgn0034654	eIF3k	FBgn0183357
FBgn0034655	CG10307	FBgn0183358
FBgn0034657	LBR	FBgn0183364
FBgn0034658	Grx1t	FBgn0183365
FBgn0034660	Loxl2	FBgn0196479
FBgn0034662	CG13492	FBgn0196476
FBgn0034663	CG4363	FBgn0196474
FBgn0034664	CG4377	FBgn0196473
FBgn0034665	CG4372	FBgn0196472
FBgn0034666	CG9294	FBgn0183371
FBgn0034667	comr	FBgn0196471
FBgn0034670	CG13488	FBgn0183374
FBgn0034674	CG9304	FBgn0183376
FBgn0034681	CG9308	FBgn0187112
FBgn0034683	CG13500	FBgn0196464
FBgn0034684	CG13501	FBgn0196463
FBgn0034687	CG11475	FBgn0196462
FBgn0034688	CG11474	FBgn0196461
FBgn0034689	CG2921	FBgn0196460
FBgn0034691	Synj	FBgn0270274
FBgn0034692	CG13502	FBgn0196459
FBgn0034693	CG11073	FBgn0196457
FBgn0034694	Plekhm1	FBgn0183383
FBgn0034697	GM130	FBgn0196455
FBgn0034700	CG11269	FBgn0183389
FBgn0034703	CG3045	FBgn0186880
FBgn0034704	CG6758	FBgn0187113
FBgn0034705	CG11170	FBgn0269498
FBgn0034706	CG11275	FBgn0187115
FBgn0034707	MED16	FBgn0183391
FBgn0034708	Vps35	FBgn0183392
FBgn0034709	Swim	FBgn0196453
FBgn0034710	Alp7	FBgn0196451
FBgn0034713	CG11291	FBgn0183393
FBgn0034715	Oatp58Db	FBgn0186879
FBgn0034716	Oatp58Dc	FBgn0186878
FBgn0034717	CG5819	FBgn0183397
FBgn0034718	wdp	FBgn0196447
FBgn0034720	Liprin-gamma	FBgn0196445
FBgn0034721	CG11298	FBgn0183401
FBgn0034722	Rtf1	FBgn0183402
FBgn0034723	CG13506	FBgn0183404
FBgn0034724	babos	FBgn0196444
FBgn0034725	CG6044	FBgn0183405
FBgn0034726	Mes4	FBgn0183407
FBgn0034727	mRpS29	FBgn0196441
FBgn0034728	rad50	FBgn0183410
FBgn0034729	CG10344	FBgn0196440
FBgn0034730	ppk12	FBgn0183411
FBgn0034731	CG10384	FBgn0183412
FBgn0034733	CG4752	FBgn0183413
FBgn0034734	CG4554	FBgn0183414
FBgn0034735	CG4610	FBgn0183415
FBgn0034736	gas	FBgn0183416
FBgn0034737	CG11362	FBgn0183417
FBgn0034741	CG4269	FBgn0268874
FBgn0034742	CG4294	FBgn0196434
FBgn0034743	RpS16	FBgn0183419
FBgn0034744	Vps20	FBgn0183420
FBgn0034745	CG4329	FBgn0270518
FBgn0034748	CG17807	FBgn0196433
FBgn0034750	CG3732	FBgn0196431
FBgn0034753	CG2852	FBgn0196428
FBgn0034755	CG3746	FBgn0196426
FBgn0034756	Cyp6d2	FBgn0196425
FBgn0034758	CG13510	FBgn0183424
FBgn0034759	CG13511	FBgn0183425
FBgn0034761	CG4250	FBgn0183428
FBgn0034763	RYBP	FBgn0183433
FBgn0034766	Obp59a	FBgn0183434
FBgn0034768	Obp58b	FBgn0183435
FBgn0034769	Obp58c	FBgn0196419
FBgn0034770	Obp58d	FBgn0183436
FBgn0034774	CG13526	FBgn0183440
FBgn0034776	CG13527	FBgn0183442
FBgn0034784	CG9826	FBgn0183454
FBgn0034785	CG3649	FBgn0183455
FBgn0034786	CG13531	FBgn0196416
FBgn0034788	CG13532	FBgn0183458
FBgn0034789	PIP5K59B	FBgn0183459
FBgn0034791	EMC8-9	FBgn0196412
FBgn0034792	YME1L	FBgn0196411
FBgn0034793	asrij	FBgn0183460
FBgn0034795	MED23	FBgn0183461
FBgn0034796	CG3700	FBgn0183462
FBgn0034797	nahoda	FBgn0183464
FBgn0034800	CG3788	FBgn0196407
FBgn0034803	CG9849	FBgn0183467
FBgn0034804	CG3831	FBgn0196406
FBgn0034808	CG9896	FBgn0196404
FBgn0034814	CG9890	FBgn0196398
FBgn0034816	CG3085	FBgn0183475
FBgn0034817	Art7	FBgn0196396
FBgn0034820	CG13538	FBgn0187118
FBgn0034821	CG9876	FBgn0196394
FBgn0034822	RpL37b	FBgn0269451
FBgn0034824	Klp59C	FBgn0196391
FBgn0034825	Gpdh2	FBgn0196390
FBgn0034826	CG13544	FBgn0196389
FBgn0034827	Klp59D	FBgn0183481
FBgn0034829	CG9899	FBgn0183482
FBgn0034833	CG13539	FBgn0183483
FBgn0034834	LS2	FBgn0196385
FBgn0034835	CG3092	FBgn0183484
FBgn0034837	RpL22-like	FBgn0196383
FBgn0034838	CG12782	FBgn0196382
FBgn0034839	CG13540	FBgn0183485
FBgn0034840	CG3124	FBgn0196380
FBgn0034841	CG13541	FBgn0183486
FBgn0034842	Prosbeta5R1	FBgn0196378
FBgn0034844	CG9861	FBgn0183487
FBgn0034846	CG9863	FBgn0183489
FBgn0034849	CG3500	FBgn0196371
FBgn0034850	CG9875	FBgn0183493
FBgn0034853	Ice1	FBgn0183496
FBgn0034854	Golgin245	FBgn0196369
FBgn0034856	yellow-d2	FBgn0183498
FBgn0034858	eIF2Bdelta	FBgn0183499
FBgn0034859	CG3520	FBgn0196363
FBgn0034860	CG9812	FBgn0196362
FBgn0034861	CG9815	FBgn0196361
FBgn0034863	SkpF	FBgn0196358
FBgn0034865	Or59b	FBgn0196357
FBgn0034866	Or59c	FBgn0196356
FBgn0034867	CG13557	FBgn0196355
FBgn0034869	CG13558	FBgn0183508
FBgn0034870	CG13559	FBgn0269649
FBgn0034871	CG3906	FBgn0196353
FBgn0034876	wmd	FBgn0196348
FBgn0034877	levy	FBgn0187119
FBgn0034878	pita	FBgn0186872
FBgn0034879	Rrp4	FBgn0196345
FBgn0034880	ItgaPS5	FBgn0183515
FBgn0034883	Eglp2	FBgn0196340
FBgn0034884	Eglp3	FBgn0196339
FBgn0034885	Eglp4	FBgn0196338
FBgn0034887	St1	FBgn0183521
FBgn0034893	mRpL43	FBgn0183526
FBgn0034894	sigmar	FBgn0196335
FBgn0034897	Sesn	FBgn0183530
FBgn0034898	CG18128	FBgn0196333
FBgn0034902	CG5532	FBgn0183534
FBgn0034903	sona	FBgn0196329
FBgn0034904	CG15800	FBgn0196328
FBgn0034906	CG13561	FBgn0196326
FBgn0034907	CG5539	FBgn0183536
FBgn0034908	CG5543	FBgn0183537
FBgn0034909	CG4797	FBgn0196323
FBgn0034910	CG4763	FBgn0196322
FBgn0034911	GlyT	FBgn0183538
FBgn0034913	Snap29	FBgn0196320
FBgn0034914	CG5554	FBgn0183540
FBgn0034915	eIF6	FBgn0268071
FBgn0034918	Pym	FBgn0268649
FBgn0034919	CG5569	FBgn0183542
FBgn0034920	CG5597	FBgn0183544
FBgn0034921	DCP1	FBgn0196313
FBgn0034923	Upf3	FBgn0196312
FBgn0034924	CG17658	FBgn0183546
FBgn0034925	CG5339	FBgn0196310
FBgn0034928	CG13562	FBgn0183548
FBgn0034931	CG2812	FBgn0187120
FBgn0034933	CG3735	FBgn0196305
FBgn0034935	Orcokinin	FBgn0196304
FBgn0034936	Stoml2	FBgn0183552
FBgn0034937	fzr2	FBgn0270192
FBgn0034938	CG3803	FBgn0196303
FBgn0034939	thoc5	FBgn0183553
FBgn0034940	CG16787	FBgn0196302
FBgn0034942	CG13566	FBgn0186868
FBgn0034943	Fmo-1	FBgn0187122
FBgn0034945	CG10904	FBgn0196301
FBgn0034946	CG3065	FBgn0183556
FBgn0034948	PPP1R15	FBgn0196300
FBgn0034950	Pask	FBgn0183559
FBgn0034951	CG3860	FBgn0196298
FBgn0034956	CG4324	FBgn0196294
FBgn0034957	Rsph4a	FBgn0183560
FBgn0034958	CG3907	FBgn0269896
FBgn0034959	Xxylt	FBgn0270508
FBgn0034961	CG3163	FBgn0270245
FBgn0034962	MAN1	FBgn0183561
FBgn0034963	Not11	FBgn0196291
FBgn0034964	IntS1	FBgn0183562
FBgn0034965	ppk29	FBgn0196288
FBgn0034966	CG13563	FBgn0183567
FBgn0034968	RpL12	FBgn0183569
FBgn0034970	yki	FBgn0196286
FBgn0034971	Gpat4	FBgn0183571
FBgn0034972	CG10339	FBgn0270232
FBgn0034973	CG13564	FBgn0187127
FBgn0034974	CG16786	FBgn0187128
FBgn0034975	enok	FBgn0183574
FBgn0034976	CG4049	FBgn0270172
FBgn0034978	CG3257	FBgn0187132
FBgn0034982	Naa35	FBgn0196283
FBgn0034985	CG3328	FBgn0183577
FBgn0034986	mRpS17	FBgn0196282
FBgn0034988	cN-IIIB	FBgn0183582
FBgn0034989	CG3356	FBgn0183583
FBgn0034990	CG11406	FBgn0196281
FBgn0034994	Ir60a	FBgn0184597
FBgn0034996	CG13575	FBgn0183586
FBgn0034997	CG3376	FBgn0183587
FBgn0034998	CG13577	FBgn0269674
FBgn0034999	Fatp3	FBgn0183589
FBgn0035000	CG13578	FBgn0183592
FBgn0035001	Slik	FBgn0196274
FBgn0035003	CG15873	FBgn0196268
FBgn0035004	Pgam5-2	FBgn0196266
FBgn0035005	CG3483	FBgn0183596
FBgn0035006	CG4563	FBgn0196264
FBgn0035007	CG3492	FBgn0183597
FBgn0035008	CG3494	FBgn0183598
FBgn0035009	CG16837	FBgn0183599
FBgn0035010	CG13579	FBgn0183600
FBgn0035014	CG13581	FBgn0183603
FBgn0035016	CG4612	FBgn0196258
FBgn0035019	Ir60e	FBgn0196257
FBgn0035020	CG13585	FBgn0183608
FBgn0035021	CG4622	FBgn0269454
FBgn0035022	CG11413	FBgn0183609
FBgn0035023	ITP	FBgn0183610
FBgn0035024	CG11414	FBgn0183612
FBgn0035025	uri	FBgn0183613
FBgn0035026	Fcp1	FBgn0196255
FBgn0035027	CG3511	FBgn0183614
FBgn0035028	Start1	FBgn0183615
FBgn0035031	CG13587	FBgn0183618
FBgn0035032	ATPsynF	FBgn0196251
FBgn0035033	CG3548	FBgn0183619
FBgn0035034	CG3565	FBgn0183620
FBgn0035035	Samtor	FBgn0183621
FBgn0035036	CG4707	FBgn0196250
FBgn0035039	Adck1	FBgn0183624
FBgn0035040	CG4741	FBgn0196249
FBgn0035041	CG13594	FBgn0196247
FBgn0035042	CG3640	FBgn0183627
FBgn0035043	CG4781	FBgn0196246
FBgn0035044	CG3663	FBgn0183628
FBgn0035046	ND-19	FBgn0183629
FBgn0035047	Pof	FBgn0183630
FBgn0035049	Mmp1	FBgn0196240
FBgn0035050	SiaT	FBgn0085863
FBgn0035056	spz6	FBgn0183632
FBgn0035057	CG3880	FBgn0183633
FBgn0035059	CG3894	FBgn0183634
FBgn0035060	Eps-15	FBgn0196236
FBgn0035063	CG3594	FBgn0183635
FBgn0035064	TyrRS-m	FBgn0196233
FBgn0035065	CG3589	FBgn0183636
FBgn0035068	CG12849	FBgn0183637
FBgn0035069	CG3611	FBgn0183638
FBgn0035070	CG3650	FBgn0183642
FBgn0035073	CG16896	FBgn0196228
FBgn0035076	Ance-5	FBgn0196226
FBgn0035077	CG9083	FBgn0183647
FBgn0035078	Tpc2	FBgn0270411
FBgn0035082	CG2811	FBgn0196223
FBgn0035083	Tina-1	FBgn0196222
FBgn0035084	CG15861	FBgn0196221
FBgn0035085	CG3770	FBgn0183651
FBgn0035086	CG12851	FBgn0183652
FBgn0035087	CG2765	FBgn0268511
FBgn0035088	CG3776	FBgn0183653
FBgn0035089	Phk-3	FBgn0196218
FBgn0035090	CG2736	FBgn0196217
FBgn0035091	CG3829	FBgn0183654
FBgn0035092	Nplp1	FBgn0183656
FBgn0035094	CG9380	FBgn0196208
FBgn0035097	CG13405	FBgn0185252
FBgn0035099	CG6845	FBgn0185256
FBgn0035101	p130CAS	FBgn0185258
FBgn0035102	CG7049	FBgn0185249
FBgn0035103	Vdup1	FBgn0185248
FBgn0035104	CG13875	FBgn0185259
FBgn0035106	rno	FBgn0185246
FBgn0035107	mri	FBgn0185261
FBgn0035109	CG13876	FBgn0185263
FBgn0035110	thoc7	FBgn0185243
FBgn0035111	Dis3l2	FBgn0185264
FBgn0035112	CG13877	FBgn0185267
FBgn0035113	pyx	FBgn0185242
FBgn0035120	wac	FBgn0182764
FBgn0035121	Tudor-SN	FBgn0197001
FBgn0035122	mRpL17	FBgn0182765
FBgn0035124	ttm2	FBgn0182768
FBgn0035131	mthl9	FBgn0196996
FBgn0035132	mthl10	FBgn0191665
FBgn0035134	CG1231	FBgn0269694
FBgn0035137	CG1233	FBgn0182775
FBgn0035138	CG13884	FBgn0196993
FBgn0035139	CG13891	FBgn0196989
FBgn0035140	BORCS6	FBgn0182779
FBgn0035141	Cypl	FBgn0196987
FBgn0035142	Hipk	FBgn0182780
FBgn0035143	Ppm1	FBgn0189166
FBgn0035144	Kah	FBgn0185239
FBgn0035145	MED14	FBgn0185272
FBgn0035146	CG13893	FBgn0185237
FBgn0035147	Gale	FBgn0185273
FBgn0035148	CG3402	FBgn0270339
FBgn0035149	MED30	FBgn0189163
FBgn0035150	Rev1	FBgn0185274
FBgn0035151	CG17129	FBgn0269421
FBgn0035152	CG3386	FBgn0185231
FBgn0035153	ebd1	FBgn0185230
FBgn0035154	hiro	FBgn0185229
FBgn0035155	RabX6	FBgn0185279
FBgn0035157	CG13894	FBgn0185226
FBgn0035158	CG13895	FBgn0185225
FBgn0035159	CG13896	FBgn0185222
FBgn0035160	hng3	FBgn0185220
FBgn0035161	CG13898	FBgn0185219
FBgn0035162	Sf3b3	FBgn0185218
FBgn0035164	CG13901	FBgn0185217
FBgn0035165	CG13887	FBgn0185285
FBgn0035166	JMJD5	FBgn0185216
FBgn0035167	Gr61a	FBgn0185286
FBgn0035168	cep290	FBgn0185287
FBgn0035169	Dci	FBgn0185289
FBgn0035170	dpr20	FBgn0185215
FBgn0035171	CG12502	FBgn0185290
FBgn0035173	CG13907	FBgn0185214
FBgn0035176	CG13905	FBgn0185293
FBgn0035179	CG12038	FBgn0185298
FBgn0035181	CG9205	FBgn0185299
FBgn0035186	CG13912	FBgn0185301
FBgn0035187	Trh	FBgn0185205
FBgn0035192	galene	FBgn0185306
FBgn0035193	CG9192	FBgn0185201
FBgn0035194	Psf1	FBgn0185199
FBgn0035196	CG9129	FBgn0185308
FBgn0035197	CG9130	FBgn0185309
FBgn0035198	CG9133	FBgn0185310
FBgn0035199	tfc	FBgn0185311
FBgn0035203	CG9149	FBgn0185316
FBgn0035204	CG2277	FBgn0185197
FBgn0035205	Ctr9	FBgn0185317
FBgn0035206	sturkopf	FBgn0185196
FBgn0035207	Herc4	FBgn0185318
FBgn0035208	CG9184	FBgn0185195
FBgn0035209	msd1	FBgn0185322
FBgn0035210	msd5	FBgn0185194
FBgn0035211	CG2211	FBgn0185193
FBgn0035213	CG2199	FBgn0185192
FBgn0035216	CG9168	FBgn0185327
FBgn0035217	FucTD	FBgn0192072
FBgn0035218	CG9173	FBgn0185190
FBgn0035227	Iml1	FBgn0185181
FBgn0035228	CG12091	FBgn0185180
FBgn0035229	pns	FBgn0185332
FBgn0035231	Pcyt2	FBgn0185334
FBgn0035232	CG12099	FBgn0185178
FBgn0035233	Pex10	FBgn0185335
FBgn0035234	CG12003	FBgn0185336
FBgn0035235	CG7879	FBgn0185177
FBgn0035236	CG12004	FBgn0185337
FBgn0035237	CG13917	FBgn0185339
FBgn0035238	CG12104	FBgn0189162
FBgn0035239	CG18170	FBgn0189169
FBgn0035240	CG33791	FBgn0189170
FBgn0035241	CG12105	FBgn0189161
FBgn0035243	CG13926	FBgn0185175
FBgn0035244	ABCB7	FBgn0185341
FBgn0035245	GC	FBgn0185174
FBgn0035246	CG13928	FBgn0185171
FBgn0035247	metl	FBgn0189158
FBgn0035248	CG13919	FBgn0185343
FBgn0035249	CG17249	FBgn0185169
FBgn0035251	Vta1	FBgn0185168
FBgn0035252	CG7970	FBgn0185345
FBgn0035253	Srrm234	FBgn0185166
FBgn0035254	CG7974	FBgn0185347
FBgn0035255	RabX5	FBgn0185164
FBgn0035256	CG13930	FBgn0185163
FBgn0035257	CG12011	FBgn0185348
FBgn0035258	CG13931	FBgn0185161
FBgn0035260	CG7991	FBgn0185349
FBgn0035262	CG18171	FBgn0185158
FBgn0035263	CG12035	FBgn0185350
FBgn0035264	Oseg4	FBgn0185156
FBgn0035265	PIG-Wb	FBgn0189157
FBgn0035266	Gk2	FBgn0185351
FBgn0035267	CG13921	FBgn0185352
FBgn0035268	CG8001	FBgn0185353
FBgn0035270	CG13933	FBgn0185152
FBgn0035271	CG2021	FBgn0185151
FBgn0035272	mRpL46	FBgn0185355
FBgn0035273	CG12020	FBgn0185356
FBgn0035279	Cpr62Ba	FBgn0185147
FBgn0035280	Cpr62Bb	FBgn0189156
FBgn0035281	Cpr62Bc	FBgn0185146
FBgn0035282	CNMa	FBgn0185145
FBgn0035283	CG12024	FBgn0185361
FBgn0035285	CG12025	FBgn0185362
FBgn0035286	CG13924	FBgn0185363
FBgn0035287	CG13937	FBgn0185141
FBgn0035290	dsb	FBgn0185139
FBgn0035293	CG5687	FBgn0185137
FBgn0035294	Mfap1	FBgn0185367
FBgn0035295	Cnb	FBgn0185368
FBgn0035298	SCOT	FBgn0185369
FBgn0035299	CG11815	FBgn0185131
FBgn0035300	CG1139	FBgn0185370
FBgn0035308	CG15822	FBgn0185124
FBgn0035312	CG15820	FBgn0185119
FBgn0035313	CG13810	FBgn0185372
FBgn0035315	CG8960	FBgn0185373
FBgn0035316	CG15878	FBgn0185116
FBgn0035317	Oseg2	FBgn0185376
FBgn0035318	CG9018	FBgn0185113
FBgn0035321	CG1275	FBgn0185115
FBgn0035323	CG13807	FBgn0185378
FBgn0035325	CG13806	FBgn0185382
FBgn0035328	yellow-g2	FBgn0185385
FBgn0035331	MsR1	FBgn0185389
FBgn0035332	CG13801	FBgn0270663
FBgn0035333	CG1317	FBgn0185109
FBgn0035335	mRpL23	FBgn0185108
FBgn0035336	CG9004	FBgn0185392
FBgn0035337	CG15877	FBgn0185107
FBgn0035343	CG16762	FBgn0185104
FBgn0035344	Cyp4d20	FBgn0185103
FBgn0035346	CG1146	FBgn0185398
FBgn0035348	CG16758	FBgn0185101
FBgn0035355	CG16985	FBgn0185403
FBgn0035356	CG16986	FBgn0185404
FBgn0035357	MEP-1	FBgn0185407
FBgn0035358	CG14949	FBgn0185095
FBgn0035359	CG1143	FBgn0185408
FBgn0035360	CG1246	FBgn0185409
FBgn0035370	Non2	FBgn0185413
FBgn0035371	AhcyL1	FBgn0185088
FBgn0035372	CG12093	FBgn0185087
FBgn0035374	mRpS35	FBgn0185416
FBgn0035375	Pgant6	FBgn0185418
FBgn0035379	spz5	FBgn0185083
FBgn0035380	CG9970	FBgn0185082
FBgn0035382	Or63a	FBgn0185421
FBgn0035383	CPT2	FBgn0185422
FBgn0035384	CG2113	FBgn0185423
FBgn0035385	FMRFaR	FBgn0185424
FBgn0035388	CG2162	FBgn0185425
FBgn0035390	scramb2	FBgn0185076
FBgn0035392	CG1271	FBgn0185430
FBgn0035393	CG16753	FBgn0185431
FBgn0035397	PAN3	FBgn0185432
FBgn0035398	Cht7	FBgn0185074
FBgn0035400	CG11537	FBgn0185071
FBgn0035401	Alg2	FBgn0185433
FBgn0035402	Usp5	FBgn0185070
FBgn0035405	CG15812	FBgn0185436
FBgn0035407	Asciz	FBgn0185068
FBgn0035409	CG14963	FBgn0063988
FBgn0035410	CG14964	FBgn0189154
FBgn0035412	CG14957	FBgn0185443
FBgn0035413	CG14958	FBgn0185444
FBgn0035414	CG14965	FBgn0185065
FBgn0035415	CG14966	FBgn0185063
FBgn0035420	hob	FBgn0185055
FBgn0035421	nSMase	FBgn0185446
FBgn0035422	RpL28	FBgn0185054
FBgn0035423	eIF1	FBgn0185447
FBgn0035424	Larp4B	FBgn0185448
FBgn0035425	CG17746	FBgn0185053
FBgn0035426	CG12078	FBgn0185052
FBgn0035427	ckd	FBgn0185449
FBgn0035428	CG14960	FBgn0185451
FBgn0035429	CG12017	FBgn0185452
FBgn0035430	CG12009	FBgn0185453
FBgn0035431	CG14968	FBgn0185051
FBgn0035432	ZnT63C	FBgn0185454
FBgn0035435	PIG-C	FBgn0185050
FBgn0035436	CG12016	FBgn0185456
FBgn0035437	Strip	FBgn0185048
FBgn0035438	PHGPx	FBgn0185458
FBgn0035439	CG14961	FBgn0270765
FBgn0035440	CG14969	FBgn0270876
FBgn0035443	CG12010	FBgn0185461
FBgn0035444	CG12012	FBgn0185462
FBgn0035445	Ids	FBgn0185463
FBgn0035449	CG14971	FBgn0185045
FBgn0035452	CG10359	FBgn0185474
FBgn0035453	CG10357	FBgn0185475
FBgn0035455	CG10862	FBgn0185041
FBgn0035458	ppk27	FBgn0185039
FBgn0035462	IntS10	FBgn0269856
FBgn0035464	PIG-B	FBgn0185479
FBgn0035468	Gr63a	FBgn0189152
FBgn0035469	CG14977	FBgn0189176
FBgn0035470	Ccz1	FBgn0189151
FBgn0035471	Sc2	FBgn0185486
FBgn0035473	mge	FBgn0185031
FBgn0035475	CG10866	FBgn0185029
FBgn0035476	CG12766	FBgn0185028
FBgn0035477	CG14982	FBgn0185491
FBgn0035478	CG10853	FBgn0185493
FBgn0035479	CG14983	FBgn0185026
FBgn0035480	CG14984	FBgn0185025
FBgn0035482	CG14985	FBgn0185496
FBgn0035483	Mul1	FBgn0185498
FBgn0035484	CG11594	FBgn0185020
FBgn0035486	Gr64d	FBgn0185502
FBgn0035488	CG11593	FBgn0185019
FBgn0035490	CG1136	FBgn0185506
FBgn0035491	Dpy-30L2	FBgn0185018
FBgn0035495	CG14989	FBgn0185509
FBgn0035497	CG14995	FBgn0185013
FBgn0035498	Fit1	FBgn0185511
FBgn0035499	Chd64	FBgn0185012
FBgn0035501	CG1299	FBgn0185516
FBgn0035504	Teh4	FBgn0185006
FBgn0035505	Teh2	FBgn0185005
FBgn0035508	CG15005	FBgn0185001
FBgn0035510	Cpr64Aa	FBgn0184999
FBgn0035511	Cpr64Ab	FBgn0184998
FBgn0035512	Cpr64Ac	FBgn0184997
FBgn0035513	Cpr64Ad	FBgn0185521
FBgn0035515	CG14997	FBgn0185523
FBgn0035517	CG1265	FBgn0185524
FBgn0035518	CG15011	FBgn0184992
FBgn0035519	CG1309	FBgn0185525
FBgn0035520	CG11586	FBgn0184991
FBgn0035521	VhaM9.7-a	FBgn0268622
FBgn0035522	CG1273	FBgn0185527
FBgn0035523	Ctl1	FBgn0185528
FBgn0035524	CG11583	FBgn0184989
FBgn0035526	CG1316	FBgn0185529
FBgn0035528	CG15012	FBgn0184987
FBgn0035529	Fdx2	FBgn0185533
FBgn0035532	CG15014	FBgn0184985
FBgn0035533	Cip4	FBgn0184984
FBgn0035534	mRpS6	FBgn0185536
FBgn0035537	CG11342	FBgn0184983
